Name,Born,Die,Link
Ahmes,1680 BC,1620 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Ahmes/
Baudhayana,800 BC,740 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Baudhayana/
Manava,750 BC,690 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Manava/
Thales of Miletus,624 BC,547 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Thales/
Anaximander,611 BC,546 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Anaximander/
Apastamba,600 BC,540 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Apastamba/
Pythagoras,570 BC,490 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Pythagoras/
Panini,520 BC,460 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Panini/
Anaxagoras,499 BC,428 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Anaxagoras/
Empedocles,492 BC,432 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Empedocles/
Oenopides,490 BC,420 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Oenopides/
Zeno of Elea,490 BC,425 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Zeno_of_Elea/
Antiphon,480 BC,411 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Antiphon/
Leucippus,480 BC,420 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Leucippus/
Hippocrates,470 BC,410 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Hippocrates/
Theodorus,465 BC,398 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Theodorus/
Democritus,460 BC,370 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Democritus/
Hippias,460 BC,400 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Hippias/
Bryson,450 BC,390 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Bryson/
Archytas,428 BC,350 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Archytas/
Plato,427 BC,347 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Plato/
Theaetetus,417 BC,369 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Theaetetus/
Eudoxus,408 BC,355 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Eudoxus/
Gan De,400 BC,340 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Gan_De/
Thymaridas,400 BC,350 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Thymaridas/
Xenocrates,396 BC,314 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Xenocrates/
Dinostratus,390 BC,320 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Dinostratus/
Heraclides,387 BC,312 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Heraclides/
Aristotle,384 BC,322 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Aristotle/
Menaechmus,380 BC,320 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Menaechmus/
Aristaeus,370 BC,300 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Aristaeus/
Callippus,370 BC,310 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Callippus/
Autolycus,360 BC,290 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Autolycus/
Eudemus,350 BC,290 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Eudemus/
Euclid,325 BC,265 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Euclid/
Aristarchus,310 BC,230 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Aristarchus/
Archimedes,287 BC,212 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Archimedes/
Chrysippus,280 BC,206 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Chrysippus/
Conon,280 BC,220 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Conon/
Nicomedes,280 BC,210 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Nicomedes/
Philon,280 BC,220 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Philon/
Eratosthenes,276 BC,194 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Eratosthenes/
Apollonius,262 BC,190 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Apollonius/
Dionysodorus,250 BC,190 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Dionysodorus/
Diocles,240 BC,180 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Diocles/
Katyayana,200 BC,140 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Katyayana/
Zenodorus,200 BC,140 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Zenodorus/
Hipparchus,190 BC,120 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Hipparchus/
Hypsicles,190 BC,120 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Hypsicles/
Perseus,180 BC,120 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Perseus/
Theodosius,160 BC,90 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Theodosius/
Zeno of Sidon,150 BC,70 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Zeno_of_Sidon/
Posidonius,135 BC,51 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Posidonius/
Luoxia Hong,130 BC,70 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Luoxia_Hong/
Vitruvius,85 BC,20 BC,https://mathshistory.st-andrews.ac.uk/Biographies/Vitruvius/
Geminus,10 BC,60,https://mathshistory.st-andrews.ac.uk/Biographies/Geminus/
Cleomedes,10,70,https://mathshistory.st-andrews.ac.uk/Biographies/Cleomedes/
Heron of Alexandria,10,75,https://mathshistory.st-andrews.ac.uk/Biographies/Heron/
Nicomachus,60,120,https://mathshistory.st-andrews.ac.uk/Biographies/Nicomachus/
Menelaus,70,130,https://mathshistory.st-andrews.ac.uk/Biographies/Menelaus/
Theon of Smyrna,70,135,https://mathshistory.st-andrews.ac.uk/Biographies/Theon_of_Smyrna/
Zhang Heng,78,139,https://mathshistory.st-andrews.ac.uk/Biographies/Zhang_Heng/
Ptolemy,85,165,https://mathshistory.st-andrews.ac.uk/Biographies/Ptolemy/
Yavanesvara,120,180,https://mathshistory.st-andrews.ac.uk/Biographies/Yavanesvara/
Liu Hong,129,210,https://mathshistory.st-andrews.ac.uk/Biographies/Liu_Hong/
Xu Yue,160,227,https://mathshistory.st-andrews.ac.uk/Biographies/Xu_Yue/
Diophantus,200,284,https://mathshistory.st-andrews.ac.uk/Biographies/Diophantus/
Liu Hui,220,280,https://mathshistory.st-andrews.ac.uk/Biographies/Liu_Hui/
Porphyry,233,309,https://mathshistory.st-andrews.ac.uk/Biographies/Porphyry/
Sporus,240,300,https://mathshistory.st-andrews.ac.uk/Biographies/Sporus/
Pappus,290,350,https://mathshistory.st-andrews.ac.uk/Biographies/Pappus/
Pandrosion,300,360,https://mathshistory.st-andrews.ac.uk/Biographies/Pandrosion/
Serenus,300,360,https://mathshistory.st-andrews.ac.uk/Biographies/Serenus/
